"UNIT INFORMATION, 776 Super Units Found & 418 Extreme Units Found",,,,BASE STATS,,,,,,,55% NO DUPES STATS,,,,,,,100% RAINBOW STATS,,,,,
Character,Class,Type,,bHP,4.25,bATK,3.26,bDEF,4.43,,_55HP,4.12,_55ATK,3.15,_55DEF,4.20,,_100HP,3.90,_100ATK,2.99,_100DEF,3.74
EZA_Emperor's Devotion Freeza (Full Power),Extreme,PHY,,"11,928",0.32,"10,129",0.06,"5,516",-0.09,,"14,728",0.61,"13,406",0.62,"8,530",0.6,,"19,488",1.16,"17,606",1.02,"12,170",0.99
EZA_Surpassing All Perfect Cell,Extreme,TEQ,,"12,589",0.53,"11,007",0.41,"7,443",1.06,,"15,389",0.81,"13,807",0.77,"10,243",1.54,,"19,029",1.03,"18,567",1.34,"14,443",2.04
EZA_Ultimate Power Surge Ultimate Gohan,Super,INT,,"11,892",0.31,"10,308",0.13,"5,744",0.05,,"14,692",0.6,"13,108",0.51,"8,544",0.6,,"18,892",1,"17,308",0.92,"12,744",1.26
EZA_Heartless Destruction Majin Buu (Pure),Extreme,PHY,,"13,915",0.95,"9,064",-0.37,"3,763",-1.13,,"16,715",1.21,"11,864",0.04,"6,563",-0.48,,"21,475",1.71,"16,064",0.5,"10,203",0.08
EZA_Devastating Punishment Beerus,Super,TEQ,,"11,322",0.13,"11,663",0.68,"4,499",-0.69,,"14,122",0.43,"14,463",1.02,"7,299",-0.08,,"17,762",0.68,"19,223",1.56,"11,499",0.68
EZA_Warrior's True Value Super Saiyan 3 Vegeta,Super,STR,,"12,311",0.44,"10,786",0.32,"5,431",-0.14,,"15,111",0.73,"13,586",0.69,"8,231",0.43,,"19,311",1.11,"18,436",1.3,"11,871",0.85
EZA_Netherworld Demon Super Janemba,Extreme,INT,,"9,215",-0.54,"11,685",0.69,"4,495",-0.69,,"12,015",-0.21,"14,485",1.03,"7,295",-0.08,,"16,215",0.25,"18,685",1.38,"11,495",0.68
EZA_The Supreme Warrior Super Gogeta,Super,STR,,"13,075",0.68,"12,832",1.15,"4,430",-0.73,,"15,875",0.96,"15,632",1.47,"7,230",-0.12,,"20,075",1.33,"20,392",1.95,"10,870",0.39
EZA_Grim Reaper of Justice's Rampage Super Saiyan 3 Gotenks,Super,TEQ,,"12,587",0.53,"12,610",1.06,"6,560",0.54,,"14,587",0.57,"14,610",1.08,"8,560",0.61,,"17,187",0.52,"18,010",1.15,"11,560",0.71
EZA_Fire of Vengeance Golden Freeza,Extreme,TEQ,,"12,341",0.45,"11,853",0.75,"5,907",0.15,,"14,341",0.5,"13,853",0.79,"7,907",0.26,,"16,941",0.45,"17,253",0.9,"10,907",0.4
EZA_Dark Menace Goku Black,Extreme,PHY,,"13,105",0.69,"11,458",0.59,"5,960",0.18,,"15,105",0.73,"13,458",0.64,"7,960",0.28,,"18,505",0.89,"16,458",0.63,"10,560",0.24
EZA_Countdown to Despair Majin Buu (Ultimate Gohan),Extreme,INT,,"12,532",0.51,"11,876",0.76,"5,056",-0.36,,"14,532",0.55,"13,876",0.8,"7,056",-0.21,,"17,532",0.62,"16,876",0.77,"10,056",0.01
EZA_Eternal Horror Legendary Super Saiyan Broly,Extreme,PHY,,"11,188",0.09,"10,024",0.02,"3,560",-1.25,,"13,188",0.15,"12,024",0.1,"5,560",-1.03,,"16,588",0.36,"15,024",0.15,"8,160",-0.87
EZA_Welcome to Hell Perfect Cell,Extreme,STR,,"11,828",0.29,"11,389",0.57,"6,401",0.44,,"13,828",0.34,"13,389",0.62,"8,401",0.53,,"16,828",0.42,"16,789",0.74,"11,001",0.45
EZA_Next-Level Strike Super Saiyan God SS Goku,Super,AGL,,"11,672",0.24,"12,626",1.06,"6,103",0.26,,"13,672",0.29,"14,626",1.08,"8,103",0.36,,"16,272",0.27,"17,626",1.02,"11,503",0.68
EZA_Hopeless Minus Energy Omega Shenron,Extreme,STR,,"12,548",0.52,"11,643",0.67,"9,310",2.17,,"14,548",0.56,"13,643",0.71,"11,310",2.12,,"17,548",0.62,"17,043",0.83,"13,910",1.8
EZA_Unparalleled Golden Ki Super Vegetto,Super,AGL,,"13,807",0.91,"13,705",1.5,"5,074",-0.35,,"15,807",0.94,"15,705",1.49,"7,074",-0.2,,"18,407",0.86,"18,705",1.39,"10,474",0.2
EZA_Wrath of the Absolute God Fusion Zamasu,Extreme,TEQ,,"12,273",0.43,"12,768",1.12,"5,378",-0.17,,"14,273",0.48,"14,768",1.14,"7,378",-0.03,,"16,873",0.44,"18,168",1.21,"10,378",0.16
EZA_Passion of the Warrior Race Super Saiyan God SS Vegeta,Super,INT,,"12,133",0.38,"12,316",0.94,"6,259",0.36,,"14,133",0.43,"14,316",0.97,"8,259",0.45,,"17,133",0.51,"17,316",0.92,"11,259",0.57
EZA_Blade of Hope and Dreams Super Saiyan Trunks (Future),Super,INT,,"12,544",0.51,"11,952",0.79,"6,261",0.36,,"14,544",0.56,"13,952",0.83,"8,261",0.45,,"17,544",0.62,"16,952",0.8,"11,261",0.57
EZA_Azure Omnipotence Super Saiyan God SS Vegetto,Super,PHY,,"12,661",0.55,"14,137",1.67,"5,594",-0.04,,"14,661",0.59,"16,137",1.66,"7,594",0.08,,"18,061",0.77,"19,137",1.53,"10,194",0.07
EZA_Rose Stained Super Saiyan Goku Black (Super Saiyan Rose'),Extreme,AGL,,"14,038",0.99,"12,416",0.98,"5,845",0.11,,"16,038",1.01,"14,416",1.01,"7,845",0.22,,"18,638",0.93,"17,416",0.95,"11,245",0.56
EZA_Mythic Evolution Super Saiyan 3 Broly,Extreme,TEQ,,"12,956",0.65,"14,283",1.73,"6,162",0.3,,"14,956",0.68,"16,283",1.71,"8,162",0.4,,"17,556",0.63,"19,683",1.72,"11,162",0.52
EZA_The Ultimate Android Super #17,Extreme,AGL,,"16,254",1.69,"14,075",1.65,"6,862",0.72,,"18,254",1.68,"16,075",1.63,"8,862",0.78,,"20,854",1.54,"19,075",1.51,"12,262",1.03
EZA_Transcendent Majin Majin Buu (Pure),Extreme,INT,,"15,033",1.3,"13,673",1.48,"5,935",0.16,,"17,033",1.31,"15,673",1.48,"7,935",0.27,,"20,033",1.31,"18,673",1.38,"10,935",0.42
EZA_Outshining Darkness Super Gogeta,Super,INT,,"13,518",0.82,"14,738",1.91,"5,787",0.08,,"15,518",0.85,"16,738",1.89,"7,787",0.19,,"18,518",0.89,"19,738",1.73,"10,787",0.35
EZA_Evil Incursion Super Janemba,Extreme,STR,,"14,325",1.08,"13,642",1.47,"6,753",0.65,,"16,325",1.1,"15,642",1.47,"8,753",0.72,,"19,325",1.12,"19,042",1.5,"11,353",0.61
EZA_Transdimensional Instinct Goku (Ultra Instinct -Sign-),Super,INT,,"13,550",0.83,"15,280",2.13,"7,723",1.23,,"15,550",0.86,"17,280",2.09,"9,723",1.25,,"18,550",0.9,"20,280",1.92,"12,723",1.25
EZA_Naught but Rampage Super Saiyan 3 Gotenks,Super,PHY,,"13,272",0.75,"13,778",1.53,"6,636",0.58,,"15,272",0.78,"15,778",1.52,"8,636",0.66,,"18,672",0.94,"18,778",1.41,"11,236",0.56
EZA_Unparalleled Super Saiyan Super Saiyan 4 Vegeta,Super,AGL,,"14,807",1.23,"13,320",1.34,"6,914",0.75,,"16,807",1.24,"15,320",1.35,"8,914",0.81,,"19,407",1.14,"18,320",1.26,"12,314",1.06
EZA_Ultimate Super Saiyan Super Saiyan 4 Goku,Super,STR,,"14,325",1.08,"14,480",1.81,"5,706",0.03,,"16,325",1.1,"16,480",1.79,"7,706",0.15,,"19,325",1.12,"19,880",1.78,"10,306",0.12
EZA_Open the Gates of Hell Cooler (Final Form),Extreme,PHY,,"14,653",1.18,"14,422",1.79,"6,421",0.45,,"16,653",1.2,"16,422",1.77,"8,421",0.54,,"20,053",1.32,"19,422",1.63,"11,021",0.46
EZA_Astounding Transformation Super Saiyan 3 Goku (Angel),Super,TEQ,,"10,625",-0.09,"11,350",0.55,"4,625",-0.62,,"12,625",-0.02,"13,350",0.6,"6,625",-0.45,,"15,225",-0.02,"16,750",0.73,"9,625",-0.19
EZA_Glacial Prestige Freeza (1st Form),Extreme,TEQ,,"15,265",1.38,"15,874",2.37,"6,793",0.68,,"17,265",1.38,"17,874",2.32,"8,793",0.74,,"19,865",1.27,"21,274",2.25,"11,793",0.81
EZA_Boiling Power Super Saiyan Goku,Super,AGL,,"10,605",-0.1,"11,978",0.8,"5,350",-0.18,,"12,605",-0.03,"13,978",0.84,"7,350",-0.05,,"15,205",-0.03,"16,978",0.81,"10,750",0.33
EZA_Assassin's Ultimate Technique Hit,Extreme,TEQ,,"13,360",0.77,"11,196",0.49,"4,200",-0.87,,"15,360",0.8,"13,196",0.54,"6,200",-0.68,,"17,960",0.74,"16,596",0.68,"9,200",-0.39
EZA_Power to Face Despair Super Saiyan Gohan (Future),Super,PHY,,"15,901",1.58,"12,179",0.88,"8,267",1.55,,"17,901",1.57,"14,179",0.92,"10,267",1.55,,"21,301",1.67,"17,179",0.87,"12,867",1.31
EZA_Crashing Maelstrom Omega Shenron,Extreme,PHY,,"16,305",1.71,"13,979",1.61,"6,763",0.66,,"18,305",1.69,"15,979",1.6,"8,763",0.72,,"21,705",1.78,"18,979",1.48,"11,363",0.62
EZA_Peerless Gleam Super Saiyan 4 Gogeta,Super,TEQ,,"14,599",1.17,"15,344",2.16,"5,909",0.15,,"16,599",1.18,"17,344",2.11,"7,909",0.26,,"19,199",1.08,"20,744",2.07,"10,909",0.4
EZA_Observance of Pride Super Saiyan God SS Vegeta,Super,AGL,,"16,152",1.66,"13,179",1.29,"8,063",1.43,,"18,152",1.65,"15,179",1.29,"10,063",1.44,,"20,752",1.51,"18,179",1.21,"13,463",1.59
EZA_Explosive Evolution Turles,Extreme,AGL,,"14,959",1.28,"13,997",1.62,"7,637",1.18,,"16,959",1.29,"15,997",1.6,"9,637",1.2,,"19,559",1.18,"18,997",1.49,"13,037",1.39
EZA_Hidden Power Unleashed Ultimate Gohan,Super,STR,,"13,107",0.69,"14,809",1.94,"6,377",0.43,,"15,107",0.73,"16,809",1.91,"8,377",0.51,,"18,107",0.78,"20,209",1.89,"10,977",0.44
EZA_Emperor's True Splendor Golden Freeza (Angel),Extreme,INT,,"13,929",0.95,"12,902",1.17,"8,348",1.6,,"15,929",0.98,"14,902",1.19,"10,348",1.59,,"18,929",1.01,"17,902",1.12,"13,348",1.54
EZA_Strength Beyond Gods Super Saiyan God SS Vegetto,Super,TEQ,,"15,793",1.54,"14,799",1.94,"5,995",0.2,,"17,793",1.54,"16,799",1.91,"7,995",0.3,,"20,393",1.41,"20,199",1.89,"10,995",0.44
EZA_Furious Punishment Goku Black (Super Saiyan Rose'),Extreme,STR,,"13,745",0.9,"14,321",1.75,"7,616",1.17,,"15,745",0.92,"16,321",1.73,"9,616",1.19,,"18,745",0.96,"19,721",1.73,"12,216",1.01
EZA_Hope-Filled Strike Super Full Power Saiyan 4 Goku,Super,TEQ,,"14,364",1.09,"16,162",2.49,"6,884",0.73,,"16,364",1.11,"18,162",2.42,"8,884",0.79,,"18,964",1.02,"21,562",2.35,"11,884",0.86
EZA_Pinnacle of Fury Goku,Super,STR,,"16,515",1.77,"15,229",2.11,"8,980",1.98,,"18,515",1.76,"17,229",2.07,"10,980",1.94,,"21,515",1.72,"20,629",2.03,"13,580",1.64
EZA_Fusion with the Big Gete Star Metal Cooler,Extreme,AGL,,"12,651",0.55,"13,929",1.59,"9,528",2.3,,"14,651",0.59,"15,929",1.58,"11,528",2.24,,"17,251",0.54,"18,929",1.46,"14,928",2.27
EZA_Extreme Ultimate Power Cooler,Extreme,STR,,"12,785",0.59,"12,142",0.87,"5,555",-0.06,,"14,785",0.63,"14,142",0.9,"7,555",0.06,,"17,785",0.69,"17,542",1,"10,155",0.05
EZA_All-Or-Nothing Punch Goku (Youth),Super,INT,,"10,630",-0.09,"10,884",0.36,"5,955",0.18,,"12,630",-0.02,"12,884",0.42,"7,955",0.28,,"15,630",0.09,"15,884",0.44,"10,955",0.43
EZA_Mark of Saiyan Strength Super Saiyan 3 Bardock,Super,INT,,"13,929",0.95,"13,560",1.44,"7,527",1.11,,"15,929",0.98,"15,560",1.44,"9,527",1.14,,"18,929",1.01,"18,560",1.34,"12,527",1.16
EZA_Endless Evolution of the Warrior Race Super Saiyan Broly,Extreme,PHY,,"16,348",1.72,"14,863",1.96,"7,515",1.1,,"18,348",1.71,"16,863",1.93,"9,515",1.14,,"21,748",1.79,"19,863",1.78,"12,115",0.96
EZA_Transcendent Fusion Super Saiyan Gogeta,Super,AGL,,"14,904",1.26,"15,368",2.17,"7,607",1.16,,"16,904",1.27,"17,368",2.12,"9,607",1.19,,"19,504",1.17,"20,368",1.95,"13,007",1.38
EZA_Limitless Radiance Super Vegetto,Super,PHY,,"13,600",0.85,"13,560",1.44,"7,692",1.21,,"15,600",0.88,"15,560",1.44,"9,692",1.23,,"19,000",1.03,"18,560",1.34,"12,292",1.05
EZA_Shocking Absorption Ability Majin Buu (Evil),Extreme,STR,,"17,171",1.98,"14,625",1.87,"6,399",0.44,,"19,171",1.96,"16,625",1.84,"8,399",0.53,,"22,171",1.91,"20,025",1.83,"10,999",0.45
EZA_Final Super Power Super Saiyan God SS Goku (Kaioken),Super,STR,,"14,577",1.16,"16,703",2.7,"8,108",1.46,,"16,577",1.17,"18,703",2.63,"10,108",1.46,,"19,577",1.19,"22,103",2.53,"12,708",1.24
EZA_Last-Ditch Battle Android #17,Super,PHY,,"13,520",0.82,"14,485",1.81,"8,398",1.63,,"15,520",0.85,"16,485",1.79,"10,398",1.62,,"18,920",1,"19,485",1.65,"12,998",1.37
EZA_Kami and Demon King United Piccolo,Super,PHY,,"13,665",0.87,"11,156",0.47,"6,353",0.41,,"15,665",0.9,"13,156",0.53,"8,353",0.5,,"19,065",1.04,"16,156",0.53,"10,953",0.43
EZA_Hot-Blooded God of Destruction Beerus,Super,PHY,,"11,480",0.18,"12,026",0.82,"6,353",0.41,,"13,480",0.24,"14,026",0.86,"8,353",0.5,,"16,880",0.44,"17,026",0.82,"10,953",0.43
EZA_Limitless Combat Power Super Saiyan Vegeta,Super,PHY,,"14,002",0.98,"16,090",2.46,"7,154",0.89,,"16,002",1,"18,090",2.4,"9,154",0.94,,"19,402",1.14,"21,090",2.19,"11,754",0.8
EZA_True Power of a God Zamasu,Extreme,AGL,,"18,254",2.32,"15,673",2.29,"8,559",1.73,,"20,254",2.28,"17,673",2.24,"10,559",1.71,,"22,854",2.1,"20,673",2.05,"13,959",1.82
EZA_Resilient Will to Protect the Future Trunks (Teen) (Future),Super,TEQ,,"17,050",1.94,"15,512",2.22,"9,361",2.2,,"19,050",1.92,"17,512",2.18,"11,361",2.15,,"21,650",1.76,"20,912",2.13,"14,361",2.01
EZA_Heroic Warrior Gohan (Future),Super,INT,,"17,291",2.02,"16,935",2.8,"6,459",0.48,,"19,291",1.99,"18,935",2.72,"8,459",0.56,,"22,291",1.94,"21,935",2.47,"11,459",0.66
EZA_Epitome of Sublime Beauty Goku Black,Extreme,INT,,"17,344",2.03,"14,764",1.92,"6,138",0.29,,"19,344",2.01,"16,764",1.89,"8,138",0.38,,"22,344",1.96,"19,764",1.74,"11,138",0.51
EZA_Absolute Power Jiren,Super,STR,,"11,910",0.31,"13,388",1.37,"8,205",1.52,,"13,910",0.37,"15,388",1.37,"10,205",1.52,,"16,910",0.45,"18,788",1.41,"12,805",1.28
EZA_Foe Elimination Circuit Android #13,Extreme,AGL,,"17,484",2.08,"14,376",1.77,"9,562",2.32,,"19,484",2.05,"16,376",1.75,"11,562",2.26,,"22,084",1.88,"19,376",1.61,"14,962",2.28
Ceaseless Terror Perfect Cell,Extreme,INT,,"9,123",-0.57,"7,732",-0.9,"5,432",-0.14,,"11,123",-0.48,"9,732",-0.77,"7,432",0,,"14,123",-0.33,"12,732",-0.62,"10,432",0.18
Uncontrollable Instinct Buu (Pure),Extreme,AGL,,"9,964",-0.3,"8,099",-0.76,"3,640",-1.2,,"11,964",-0.22,"10,099",-0.63,"5,640",-0.99,,"14,564",-0.21,"13,099",-0.5,"9,040",-0.46
Clutching Victory Shuper Saiyan 3 Goku,Super,STR,,"8,571",-0.74,"8,123",-0.75,"4,277",-0.82,,"10,571",-0.64,"10,123",-0.62,"6,277",-0.64,,"13,571",-0.48,"13,523",-0.35,"8,877",-0.54
Leaping Ever Higher Super Saiyan Goku,Super,AGL,,"8,588",-0.74,"7,460",-1.01,"4,131",-0.91,,"10,588",-0.64,"9,460",-0.87,"6,131",-0.72,,"13,588",-0.48,"12,460",-0.71,"9,131",-0.42
Reclaim the Summit Super Saiyan Vegeta,Extreme,TEQ,,"8,423",-0.79,"7,031",-1.19,"4,750",-0.54,,"10,423",-0.69,"9,031",-1.04,"6,750",-0.38,,"13,423",-0.52,"12,031",-0.85,"9,750",-0.13
A True Master's Dignity Piccolo,Super,PHY,,"9,083",-0.58,"6,767",-1.29,"5,456",-0.12,,"11,083",-0.49,"8,767",-1.14,"7,456",0.01,,"14,083",-0.34,"11,767",-0.94,"10,456",0.19
Soaring New-Generation Super Saiyan Gohan (Youth),Super,INT,,"8,753",-0.69,"7,790",-0.88,"3,636",-1.2,,"10,753",-0.59,"9,790",-0.75,"5,636",-0.99,,"13,753",-0.43,"12,790",-0.6,"8,636",-0.65
Future-Carving Power Super Saiyan Trunks (Teen),Super,INT,,"8,588",-0.74,"7,493",-1,"4,750",-0.54,,"10,588",-0.64,"9,493",-0.86,"6,750",-0.38,,"13,588",-0.48,"12,493",-0.7,"9,750",-0.13
Exceptional Potential Ultimate Gohan,Super,AGL,,"9,092",-0.58,"7,741",-0.9,"4,188",-0.88,,"11,092",-0.49,"9,741",-0.77,"6,188",-0.69,,"13,692",-0.45,"12,741",-0.62,"9,588",-0.21
Hero's Return Ultimate Gohan,Super,PHY,,"8,310",-0.83,"7,671",-0.93,"4,666",-0.59,,"10,310",-0.72,"9,671",-0.79,"6,666",-0.42,,"13,710",-0.44,"12,671",-0.64,"9,266",-0.36
"Farewell, Proud Warrior Majin Vegeta",Extreme,TEQ,,"8,670",-0.71,"7,526",-0.99,"4,008",-0.98,,"10,670",-0.61,"9,526",-0.85,"6,008",-0.79,,"13,670",-0.45,"12,526",-0.69,"9,008",-0.48
Majin on the Loose Majin Buu (Good),Extreme,PHY,,"8,835",-0.66,"7,493",-1,"5,575",-0.05,,"10,835",-0.56,"9,493",-0.86,"7,575",0.07,,"13,835",-0.41,"12,493",-0.7,"10,575",0.25
Power to Decimate Super Saiyan 3 Vegeta,Super,TEQ,,"7,702",-1.02,"8,158",-0.73,"4,362",-0.77,,"9,702",-0.91,"10,158",-0.61,"6,362",-0.59,,"12,302",-0.83,"13,558",-0.34,"9,362",-0.31
Umpire of Annihilation Beerus,Super,STR,,"8,137",-0.88,"8,679",-0.52,"3,493",-1.29,,"10,137",-0.77,"10,679",-0.41,"5,493",-1.07,,"13,137",-0.6,"14,079",-0.17,"8,093",-0.9
Battle in Another World Trunks (Xeno),Super,PHY,,"8,423",-0.79,"7,802",-0.88,"4,751",-0.54,,"10,423",-0.69,"9,802",-0.74,"6,751",-0.38,,"13,823",-0.41,"12,802",-0.6,"9,351",-0.32
True Value of the Potara Vegetto,Super,TEQ,,"9,353",-0.5,"7,915",-0.83,"4,730",-0.55,,"11,353",-0.41,"9,915",-0.7,"6,730",-0.39,,"13,953",-0.37,"13,315",-0.42,"9,730",-0.14
Fusion Fighter's Attack Vegetto,Super,INT,,"9,266",-0.52,"8,019",-0.79,"5,010",-0.39,,"11,266",-0.43,"10,019",-0.66,"7,010",-0.24,,"14,266",-0.29,"13,019",-0.52,"10,010",-0.01
Heroic Victory Declaration Super Saiyan Gotenks,Super,STR,,"8,745",-0.69,"7,985",-0.8,"4,806",-0.51,,"10,745",-0.59,"9,985",-0.67,"6,806",-0.35,,"13,745",-0.43,"13,385",-0.4,"9,406",-0.29
The Paramount Saiyan Super Saiyan God SS Goku,Super,AGL,,"9,113",-0.57,"8,544",-0.58,"4,117",-0.92,,"11,113",-0.48,"10,544",-0.46,"6,117",-0.73,,"13,713",-0.44,"13,544",-0.35,"9,517",-0.24
Cyan Juggernaut Super Saiyan God SS Goku,Super,TEQ,,"9,572",-0.43,"7,923",-0.83,"4,025",-0.97,,"11,572",-0.34,"9,923",-0.7,"6,025",-0.78,,"14,172",-0.31,"13,323",-0.42,"9,025",-0.47
Whirlwind Strike Super Saiyan 2 Goku,Super,TEQ,,"8,655",-0.72,"7,920",-0.83,"4,380",-0.76,,"10,655",-0.62,"9,920",-0.7,"6,380",-0.58,,"13,255",-0.57,"13,320",-0.42,"9,380",-0.3
Vile and Violent Turles,Extreme,INT,,"10,100",-0.26,"7,104",-1.16,"4,195",-0.87,,"12,100",-0.18,"9,104",-1.01,"6,195",-0.68,,"15,100",-0.06,"12,104",-0.83,"9,195",-0.39
Raging Dash Majin Buu (South Supreme Kai),Extreme,TEQ,,"9,481",-0.45,"8,683",-0.52,"3,566",-1.25,,"11,481",-0.37,"10,683",-0.41,"5,566",-1.03,,"14,081",-0.34,"14,083",-0.17,"8,566",-0.68
Long-awaited Serious Duel Super Saiyan 2 Goku,Super,AGL,,"9,076",-0.58,"7,964",-0.81,"4,168",-0.89,,"11,076",-0.49,"9,964",-0.68,"6,168",-0.7,,"13,676",-0.45,"12,964",-0.54,"9,568",-0.22
Protector of Hope Super Saiyan Gohan (Future),Super,TEQ,,"9,220",-0.54,"8,236",-0.7,"4,131",-0.91,,"11,220",-0.45,"10,236",-0.58,"6,131",-0.72,,"13,820",-0.41,"13,636",-0.32,"9,131",-0.42
Shattering Strike Super Saiyan 2 Goku,Super,PHY,,"8,899",-0.64,"7,433",-1.03,"4,921",-0.44,,"10,899",-0.54,"9,433",-0.88,"6,921",-0.28,,"14,299",-0.28,"12,433",-0.72,"9,521",-0.24
Proof of Resurrection Golden Freeza,Extreme,AGL,,"8,837",-0.66,"8,279",-0.68,"4,393",-0.75,,"10,837",-0.56,"10,279",-0.56,"6,393",-0.57,,"13,437",-0.52,"13,279",-0.44,"9,793",-0.11
Golden Malice Golden Freeza,Extreme,INT,,"9,035",-0.6,"8,132",-0.74,"4,815",-0.5,,"11,035",-0.5,"10,132",-0.62,"6,815",-0.34,,"14,035",-0.35,"13,132",-0.49,"9,815",-0.1
Agent of Destruction Syn Shenron,Extreme,PHY,,"8,295",-0.83,"7,934",-0.82,"6,700",0.62,,"10,295",-0.73,"9,934",-0.69,"8,700",0.69,,"13,695",-0.45,"12,934",-0.55,"11,300",0.59
Proud Bloodline Bulpan,Super,AGL,,"9,021",-0.6,"7,801",-0.88,"4,898",-0.45,,"11,021",-0.51,"9,801",-0.74,"6,898",-0.3,,"13,621",-0.47,"12,801",-0.6,"10,298",0.12
Beyond Destiny Karoly,Super,TEQ,,"9,756",-0.37,"8,095",-0.76,"4,163",-0.89,,"11,756",-0.28,"10,095",-0.63,"6,163",-0.7,,"14,356",-0.26,"13,495",-0.36,"9,163",-0.41
Energetic Fighter Pandel,Super,INT,,"8,653",-0.72,"7,874",-0.85,"4,990",-0.4,,"10,653",-0.62,"9,874",-0.72,"6,990",-0.25,,"13,653",-0.46,"12,874",-0.57,"9,990",-0.02
Blast of Fury Super Saiyan Gohan (Teen),Super,INT,,"8,230",-0.85,"7,546",-0.98,"4,578",-0.64,,"10,230",-0.75,"9,546",-0.84,"6,578",-0.47,,"13,230",-0.58,"12,546",-0.68,"9,578",-0.21
Stunning Power Super Saiyan 2 Vegeta,Super,STR,,"8,570",-0.74,"7,478",-1.01,"4,493",-0.69,,"10,570",-0.64,"9,478",-0.87,"6,493",-0.52,,"13,570",-0.48,"12,878",-0.57,"9,093",-0.44
Impish Innocence Arale Norimaki,Super,AGL,,"9,572",-0.43,"7,874",-0.85,"4,531",-0.67,,"11,572",-0.34,"9,874",-0.72,"6,531",-0.5,,"14,172",-0.31,"12,874",-0.57,"9,931",-0.05
Devasting Power Arale Norimaki,Super,STR,,"8,286",-0.83,"8,573",-0.57,"4,301",-0.81,,"10,286",-0.73,"10,573",-0.45,"6,301",-0.62,,"13,286",-0.56,"13,973",-0.2,"8,901",-0.53
Unyielding Kamehameha Super Saiyan Gohan (Teen),Super,AGL,,"8,102",-0.89,"8,573",-0.57,"4,393",-0.75,,"10,102",-0.78,"10,573",-0.45,"6,393",-0.57,,"12,702",-0.72,"13,573",-0.34,"9,793",-0.11
Miraculous Kamehameha Super Saiyan Goku,Super,STR,,"9,389",-0.48,"8,279",-0.68,"4,117",-0.92,,"11,389",-0.4,"10,279",-0.56,"6,117",-0.73,,"14,389",-0.25,"13,679",-0.3,"8,717",-0.61
Furious Kamehameha Super Saiyan Goten (Kid),Super,STR,,"9,848",-0.34,"7,838",-0.86,"4,439",-0.73,,"11,848",-0.26,"9,838",-0.73,"6,439",-0.55,,"14,848",-0.13,"13,238",-0.45,"9,039",-0.46
Humanity's Hope Super Saiyan Trunks (Future),Super,TEQ,,"8,378",-0.8,"8,279",-0.68,"4,623",-0.62,,"10,378",-0.7,"10,279",-0.56,"6,623",-0.45,,"12,978",-0.65,"13,679",-0.3,"9,623",-0.19
God of Defiance Zamasu,Extreme,STR,,"9,940",-0.31,"7,544",-0.98,"4,761",-0.53,,"11,940",-0.23,"9,544",-0.84,"6,761",-0.37,,"14,940",-0.1,"12,944",-0.55,"9,361",-0.31
Striking in Harmony Super Saiyan 2 Gohan (Youth),Super,STR,,"8,745",-0.69,"8,610",-0.55,"4,025",-0.97,,"10,745",-0.59,"10,610",-0.44,"6,025",-0.78,,"13,745",-0.43,"14,010",-0.19,"8,625",-0.65
Full-Power Salutation Arale Norimaki,Super,PHY,,"9,418",-0.47,"8,150",-0.74,"5,775",0.07,,"11,418",-0.39,"10,150",-0.61,"7,775",0.18,,"14,818",-0.13,"13,150",-0.48,"10,375",0.16
Bonds Beyond Time Super Saiyan God SS Vegeta,Super,TEQ,,"9,297",-0.51,"8,095",-0.76,"4,393",-0.75,,"11,297",-0.42,"10,095",-0.63,"6,393",-0.57,,"13,897",-0.39,"13,495",-0.36,"9,393",-0.3
A Will Beyond Time Super Saiyan Trunks (Future),Super,PHY,,"9,205",-0.54,"7,985",-0.8,"4,577",-0.64,,"11,205",-0.45,"9,985",-0.67,"6,577",-0.47,,"14,605",-0.19,"12,985",-0.53,"9,177",-0.4
Technique vs. Strength Super Saiyan 2 Goku (GT),Super,AGL,,"8,740",-0.69,"7,682",-0.93,"4,153",-0.9,,"10,740",-0.59,"9,682",-0.79,"6,153",-0.71,,"13,340",-0.55,"12,682",-0.64,"9,553",-0.22
Powers Combined Majuub,Super,STR,,"10,355",-0.18,"7,070",-1.17,"4,110",-0.92,,"12,355",-0.1,"9,070",-1.02,"6,110",-0.73,,"15,355",0.01,"12,470",-0.71,"8,710",-0.62
Confident of Victory Super Trunks,Super,STR,,"8,010",-0.92,"8,646",-0.54,"4,347",-0.78,,"10,010",-0.81,"10,646",-0.42,"6,347",-0.6,,"13,010",-0.64,"14,046",-0.18,"8,947",-0.51
Convergent Fury Super Trunks,Super,PHY,,"9,021",-0.6,"8,169",-0.73,"4,439",-0.73,,"11,021",-0.51,"10,169",-0.6,"6,439",-0.55,,"14,421",-0.25,"13,169",-0.47,"9,030",-0.47
Determined to Evolve Super Saiyan God SS Vegeta,Super,AGL,,"8,016",-0.92,"8,344",-0.66,"4,910",-0.45,,"10,016",-0.81,"10,344",-0.54,"6,910",-0.29,,"12,616",-0.75,"13,344",-0.41,"10,310",0.13
New Realms of Saiyan Power Super Saiyan God SS Vegeta,Super,STR,,"8,562",-0.75,"8,169",-0.73,"4,669",-0.59,,"10,562",-0.65,"10,169",-0.6,"6,669",-0.42,,"13,562",-0.48,"13,569",-0.34,"9,269",-0.36
